proj_id,proj_catg_type_id,proj_catg_id
27164,257,1670
27164,305,1306
27165,257,1670
27165,305,1306
27166,257,1670
27166,305,1306
27167,257,1670
27167,305,1306
27168,257,1670
27168,305,1306
27169,257,1670
27169,305,1306
27170,257,1670
27170,305,1306
27171,257,1670
27171,305,1306
27172,257,1670
27172,305,1306
27173,257,1670
27173,305,1306
27174,257,1670
27174,305,1306
27175,257,1670
27175,305,1306
27176,257,1670
27176,305,1306
27206,257,1671
27206,305,1306
27212,257,1671
27212,305,1306
