rsrc_id,rsrc_catg_type_id,rsrc_catg_id
6953,104,771
7257,104,771
7266,104,779
7315,104,771
7322,104,779
7327,104,771
7329,104,771
7330,104,774
7331,104,774
7332,104,774
7335,104,774
7336,104,774
7337,104,774
7338,104,774
7339,104,774
7340,104,774
7341,104,774
7343,104,771
7344,104,774
7346,104,771
7367,104,760
7368,104,760
7369,104,760
7370,104,760
7371,104,760
7372,104,760
7373,104,760
7374,104,760
7375,104,760
7376,104,760
7377,104,760
7378,104,760
7379,104,760
7380,104,760
7381,104,760
7382,104,760
7383,104,760
7384,104,780
7385,104,778
7386,104,778
7387,104,778
7388,104,778
7389,104,778
7390,104,778
7391,104,778
7392,104,760
7394,104,763
7395,104,763
7396,104,760
7398,104,763
7399,104,763
7400,104,763
7401,104,763
7402,104,763
7403,104,763
7404,104,763
7405,104,763
7730,104,763
7742,104,763
7753,104,763
7769,104,763
7785,104,763
7786,104,763
