udf_type_id,fk_id,proj_id,udf_date,udf_number,udf_text,udf_code_id
814,141240,27164,2024-11-27 08:00,,,
814,141317,27165,2024-12-30 08:00,,,
814,141394,27166,2025-01-29 08:00,,,
814,141471,27167,2025-02-27 08:00,,,
814,141548,27168,2025-03-12 08:00,,,
815,141240,27164,2027-02-04 16:00,,,
815,141317,27165,2027-03-09 16:00,,,
815,141394,27166,2027-04-08 16:00,,,
815,141471,27167,2027-05-07 16:00,,,
815,141548,27168,2027-05-20 16:00,,,
816,141230,27164,2026-10-15 16:00,,,
816,141307,27165,2026-10-28 16:00,,,
816,141384,27166,2026-11-11 16:00,,,
816,141461,27167,2026-11-18 16:00,,,
816,141538,27168,2026-11-25 16:00,,,
817,141230,27164,,,2026,
817,141231,27164,,,2026,
817,141239,27164,,,2026,
817,141240,27164,,,2026,
817,141241,27164,,,2026,
817,141242,27164,,,2026,
817,141307,27165,,,2026,
817,141308,27165,,,2026,
817,141316,27165,,,2026,
817,141317,27165,,,2026,
817,141318,27165,,,2026,
817,141319,27165,,,2026,
817,141384,27166,,,2026,
817,141385,27166,,,2026,
817,141393,27166,,,2026,
817,141394,27166,,,2026,
817,141395,27166,,,2026,
817,141396,27166,,,2026,
817,141461,27167,,,2026,
817,141462,27167,,,2026,
817,141470,27167,,,2026,
817,141471,27167,,,2026,
817,141472,27167,,,2026,
817,141473,27167,,,2026,
817,141538,27168,,,2026,
817,141539,27168,,,2026,
817,141547,27168,,,2026,
817,141548,27168,,,2026,
817,141549,27168,,,2026,
817,141550,27168,,,2026,
